algorithm,run_no,n_samples,algorithm_suffix,flow_device,flow_num_samples,flow_hidden_layer_size,flow_annealing,runtime_seconds,resumed,posterior_sample_generation_seconds,td_proposal_fit_or_train_seconds,rjmcmc_sampling_seconds,model2_probability_mean,model2_probability_final_running,accepted_move_rate,ess_model2_indicator
ToyModelAF,1,10000,gpuanneal_tdcost_,,,,,40.89450890000444,False,0.010066299990285188,0.03621180000482127,40.84823080000933,0.7659,0.7659,0.7240724072407241,277.05407877616426
ToyModelNF,1,10000,gpuanneal_tdcost_,,,,,88.17217209993396,False,0.0027381000109016895,22.656773199967574,65.51266079995548,0.7414,0.7414,0.7022702270227023,958.627336591051
ToyModelPerfect,1,10000,gpuanneal_tdcost_,,,,,36.78679290006403,False,,0.0009658000199124217,36.785827100044116,0.7553,0.7553,0.6433643364336433,4899.952250737954
ToyModelVINF,1,10000,gpuanneal_tdcost_,cuda,64,128,True,636.7316118000308,False,,591.22097210004,45.51063969999086,0.7525,0.7525,0.7231723172317231,976.0846112546341
ToyModelAF,2,10000,gpuanneal_tdcost_,,,,,38.0643781000399,False,0.004634900018572807,0.03425149997929111,38.02549170004204,0.7026,0.7026,0.756975697569757,141.4953548040634
ToyModelNF,2,10000,gpuanneal_tdcost_,,,,,83.52363140002126,False,0.005463799985591322,26.86241170001449,56.65575590002118,0.7622,0.7622,0.7152715271527152,945.9822680897053
ToyModelPerfect,2,10000,gpuanneal_tdcost_,,,,,32.63259240001207,False,,0.0009747000294737518,32.6316176999826,0.7435,0.7435,0.6331633163316331,4774.863595876036
ToyModelVINF,2,10000,gpuanneal_tdcost_,cuda,64,128,True,46.61019839998335,False,,0.039103299961425364,46.57109510002192,0.7435,0.7435,0.7185718571857186,1339.2285202026158
ToyModelAF,3,10000,gpuanneal_tdcost_,,,,,37.24496649997309,False,0.004766599973663688,0.02767350000794977,37.212526399991475,0.7584,0.7584,0.7783778377837783,99.82178285307623
ToyModelNF,3,10000,gpuanneal_tdcost_,,,,,84.1912527999375,False,0.0051009999588131905,27.311904400005005,56.87424739997368,0.7482,0.7482,0.7013701370137013,1026.8953953597618
ToyModelPerfect,3,10000,gpuanneal_tdcost_,,,,,32.693868800008204,False,,0.0009418000117875636,32.692926999996416,0.7464,0.7464,0.6310631063106311,5038.669975789115
ToyModelVINF,3,10000,gpuanneal_tdcost_,cuda,64,128,True,46.80048660002649,False,,0.017015699995681643,46.78347090003081,0.7517,0.7517,0.7224722472247225,899.8054313179691
ToyModelAF,4,10000,gpuanneal_tdcost_,,,,,37.21307759999763,False,0.004855600011069328,0.040897300001233816,37.16732469998533,0.7695,0.7695,0.7571757175717572,142.3189783607169
ToyModelNF,4,10000,gpuanneal_tdcost_,,,,,85.35357139998814,False,0.004454199981410056,27.57365099998424,57.77546620002249,0.767,0.767,0.7156715671567156,1249.308586103685
ToyModelPerfect,4,10000,gpuanneal_tdcost_,,,,,33.72471570002381,False,,0.00106380000943318,33.723651900014374,0.7516,0.7516,0.6292629262926293,5302.920914119807
ToyModelVINF,4,10000,gpuanneal_tdcost_,cuda,64,128,True,47.429247899970505,False,,0.01628410001285374,47.41296379995765,0.7654,0.7654,0.7272727272727273,989.4305792507676
ToyModelAF,5,10000,gpuanneal_tdcost_,,,,,36.52099129999988,False,0.003251400019507855,0.04198129998985678,36.47575859999051,0.7502,0.7502,0.6871687168716871,222.70829432754695
ToyModelNF,5,10000,gpuanneal_tdcost_,,,,,86.66057690000162,False,0.004310499993152916,28.474545900011435,58.18172049999703,0.764,0.764,0.7029702970297029,1238.4927529973113
ToyModelPerfect,5,10000,gpuanneal_tdcost_,,,,,34.67041520006023,False,,0.0010111000156030059,34.66940410004463,0.7446,0.7446,0.6290629062906291,4938.399846371017
ToyModelVINF,5,10000,gpuanneal_tdcost_,cuda,64,128,True,46.83468109986279,False,,0.01831979991402477,46.81636129994877,0.7439,0.7439,0.7152715271527152,1071.7656521185825
ToyModelAF,6,10000,gpuanneal_tdcost_,,,,,36.5203672000207,False,0.0046799000119790435,0.039289999986067414,36.476397300022654,0.7383,0.7383,0.7232723272327233,101.07548544785342
ToyModelNF,6,10000,gpuanneal_tdcost_,,,,,87.53610409994144,False,0.004466300015337765,28.152999199926853,59.37863859999925,0.7444,0.7444,0.7091709170917092,1010.0696370642653
ToyModelPerfect,6,10000,gpuanneal_tdcost_,,,,,33.594444799935445,False,,0.0009673999156802893,33.593477400019765,0.7611,0.7611,0.6471647164716472,4784.0833009993485
ToyModelVINF,6,10000,gpuanneal_tdcost_,cuda,64,128,True,45.70331270003226,False,,0.017841799999587238,45.68547090003267,0.7353,0.7353,0.7235723572357236,774.695049003287
ToyModelAF,7,10000,gpuanneal_tdcost_,,,,,35.5436655000085,False,0.004489999962970614,0.039565599989145994,35.499609900056385,0.764,0.764,0.7196719671967197,296.85388556975937
ToyModelNF,7,10000,gpuanneal_tdcost_,,,,,88.1489728000015,False,0.004369300091639161,28.635008699959144,59.50959479995072,0.7545,0.7545,0.7068706870687068,953.5345861663683
ToyModelPerfect,7,10000,gpuanneal_tdcost_,,,,,32.849175499984995,False,,0.0010074999881908298,32.848167999996804,0.7567,0.7567,0.6398639863986398,4874.942053748017
ToyModelVINF,7,10000,gpuanneal_tdcost_,cuda,64,128,True,44.72102219995577,False,,0.020203799940645695,44.70081840001512,0.7527,0.7527,0.723972397239724,941.2806210667374
ToyModelAF,8,10000,gpuanneal_tdcost_,,,,,36.90473070007283,False,0.004511300008744001,0.0403591999784112,36.85986020008568,0.6828,0.6828,0.6755675567556756,322.93327260971665
ToyModelNF,8,10000,gpuanneal_tdcost_,,,,,87.30111520003993,False,0.004512500017881393,27.809760799980722,59.48684190004133,0.7358,0.7358,0.6936693669366937,1161.746769344276
ToyModelPerfect,8,10000,gpuanneal_tdcost_,,,,,32.74770630011335,False,,0.000986000057309866,32.74672030005604,0.7485,0.7485,0.6354635463546354,4721.659922417058
ToyModelVINF,8,10000,gpuanneal_tdcost_,cuda,64,128,True,45.95340740005486,False,,0.01976739999372512,45.93364000006113,0.7121,0.7121,0.7121712171217122,944.929683560988
ToyModelAF,9,10000,gpuanneal_tdcost_,,,,,37.408944400027394,False,0.004438200034201145,0.033449199981987476,37.371057000011206,0.7718,0.7718,0.6716671667166717,422.3968540989698
ToyModelNF,9,10000,gpuanneal_tdcost_,,,,,88.64542160008568,False,0.00445830007083714,25.512966000009328,63.12799730000552,0.7383,0.7383,0.7032703270327033,842.9027283728515
ToyModelPerfect,9,10000,gpuanneal_tdcost_,,,,,36.53732239990495,False,,0.001132599893026054,36.536189800011925,0.7542,0.7542,0.6337633763376338,4999.702864197756
ToyModelVINF,9,10000,gpuanneal_tdcost_,cuda,64,128,True,52.3068022999214,False,,0.01473890000488609,52.292063399916515,0.742,0.742,0.7238723872387238,1046.4752334860138
ToyModelAF,10,10000,gpuanneal_tdcost_,,,,,39.63311739999335,False,0.004422100028023124,0.039430900011211634,39.58926439995412,0.7205,0.7205,0.7531753175317532,319.5582757972287
ToyModelNF,10,10000,gpuanneal_tdcost_,,,,,91.46774270001333,False,0.004424300044775009,26.902351600001566,64.56096679996699,0.77,0.77,0.7223722372237223,1246.842970481866
ToyModelPerfect,10,10000,gpuanneal_tdcost_,,,,,36.91960999998264,False,,0.0010821999749168754,36.91852780000772,0.7407,0.7407,0.6384638463846385,4897.669294597829
ToyModelVINF,10,10000,gpuanneal_tdcost_,cuda,64,128,True,50.906268000020646,False,,0.011746500036679208,50.894521499983966,0.7015,0.7015,0.7156715671567156,568.8786906022376
